Fecha Presentación;Lote;Fecha Pago;Descripción;Fecha de Origen;Comprobante;Tarjeta;Plan Cuotas;Monto Pesos
08/11/2021;71;09/11/2021;CONSUMO EN PESOS              ;05/11/2021;00001092;4019;0;1790.0
08/11/2021;72;10/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001116;8938;0;1500.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001111;3718;0;2420.0
08/11/2021;71;09/11/2021;CONSUMO EN PESOS              ;05/11/2021;00001089;4005;0;2300.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001107;5008;0;4700.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001115;2004;0;2930.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001123;3049;0;3960.0
08/11/2021;71;09/11/2021;CONSUMO EN PESOS              ;05/11/2021;00001081;2002;0;190.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001117;2003;0;970.0
08/11/2021;73;09/11/2021;CONSUMO EN PESOS              ;07/11/2021;00001132;5006;0;2000.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001105;1000;0;900.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001122;2105;0;460.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001096;9000;0;590.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001095;6010;0;3280.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001101;7002;0;1260.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001121;4022;0;1400.0
08/11/2021;73;09/11/2021;CONSUMO EN PESOS              ;07/11/2021;00001134;0026;0;1110.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001110;0026;0;900.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001109;2002;0;1450.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001093;7021;0;8990.0
08/11/2021;71;09/11/2021;CONSUMO EN PESOS              ;05/11/2021;00001086;7073;0;2030.0
08/11/2021;71;09/11/2021;CONSUMO EN PESOS              ;05/11/2021;00001087;1109;0;1870.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001104;1540;0;3280.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001126;9004;0;1410.0
08/11/2021;71;09/11/2021;CONSUMO EN PESOS              ;05/11/2021;00001085;9770;0;710.0
08/11/2021;71;09/11/2021;CONSUMO EN PESOS              ;05/11/2021;00001084;0155;0;1230.0
08/11/2021;72;09/11/2021;CONSUMO EN PESOS              ;06/11/2021;00001125;0511;0;1940.0
